scene_id	sigma	r	noise_before	noise_after
70	0.15	0.01	0.35374925	0.21755016
71	0.15	0.01	0.33776188	0.15603915
71	0.15	0.01	0.40600875	0.20787716
71	0.15	0.01	0.33055958	0.22453447
72	0.15	0.01	0.34978345	0.17167036
72	0.15	0.01	0.41617337	0.20117782
72	0.15	0.01	0.33705342	0.20905201
73	0.15	0.01	0.3584971	0.17605495
73	0.15	0.01	0.3973495	0.28607705
73	0.15	0.01	0.3452007	0.20009309
74	0.15	0.01	0.34663388	0.20917363
74	0.15	0.01	0.38323638	0.30532706
74	0.15	0.01	0.34094113	0.19679622
75	0.15	0.01	0.33595505	0.2069891
75	0.15	0.01	0.38982502	0.25118703
75	0.15	0.01	0.3523779	0.19561851
76	0.15	0.01	0.34495822	0.2183651
76	0.15	0.01	0.3865813	0.2623501
76	0.15	0.01	0.36008203	0.21691167
77	0.15	0.01	0.35789207	0.19586633
77	0.15	0.01	0.37785572	0.25090158
77	0.15	0.01	0.35025346	0.21931094
78	0.15	0.01	0.3557395	0.20342045
78	0.15	0.01	0.34988773	0.30581322
78	0.15	0.01	0.3339458	0.18627514
79	0.15	0.01	0.3739828	0.24218845
79	0.15	0.01	0.34221646	0.30185083
79	0.15	0.01	0.34957236	0.21675302
80	0.15	0.01	0.3679591	0.25100583
80	0.15	0.01	0.36446407	0.31487662
80	0.15	0.01	0.35041592	0.21026927
81	0.15	0.01	0.32736573	0.23467423
81	0.15	0.01	0.34837994	0.2839394
81	0.15	0.01	0.35121158	0.224821
82	0.15	0.01	0.3678905	0.2442261
82	0.15	0.01	0.38551715	0.28588653
82	0.15	0.01	0.36027673	0.20437293
83	0.15	0.01	0.3461366	0.26692772
83	0.15	0.01	0.38697138	0.295711
83	0.15	0.01	0.35467717	0.20405363
84	0.15	0.01	0.35804445	0.267747
84	0.15	0.01	0.3683695	0.21090385
84	0.15	0.01	0.34683457	0.2021583
85	0.15	0.01	0.36609876	0.24815422
85	0.15	0.01	0.38301563	0.23432148
85	0.15	0.01	0.3709594	0.21549295
86	0.15	0.01	0.34311903	0.24349786
86	0.15	0.01	0.34572777	0.26096937
86	0.15	0.01	0.36166587	0.21210359
87	0.15	0.01	0.3603114	0.26720807
87	0.15	0.01	0.40042794	0.2770636
87	0.15	0.01	0.36854732	0.2380207
88	0.15	0.01	0.3648021	0.2635815
88	0.15	0.01	0.4120224	0.2594851
88	0.15	0.01	0.35539556	0.1981357
89	0.15	0.01	0.3512761	0.21490313
89	0.15	0.01	0.3699337	0.26318002
89	0.15	0.01	0.35262275	0.2077298
90	0.15	0.01	0.3555785	0.2328558
90	0.15	0.01	0.3736219	0.20875235
90	0.15	0.01	0.3482832	0.2241307
91	0.15	0.01	0.34387875	0.23525128
91	0.15	0.01	0.3853235	0.35509548
91	0.15	0.01	0.3429762	0.23002899
92	0.15	0.01	0.33792314	0.2928055
92	0.15	0.01	0.38492832	0.23106222
92	0.15	0.01	0.3409206	0.21373552
93	0.15	0.01	0.35918033	0.25268966
93	0.15	0.01	0.36734062	0.27091476
93	0.15	0.01	0.34649408	0.18434496
94	0.15	0.01	0.35800216	0.21548492
94	0.15	0.01	0.37181598	0.2482598
94	0.15	0.01	0.37475213	0.21927208
95	0.15	0.01	0.35616443	0.23632601
95	0.15	0.01	0.35517648	0.2872607
95	0.15	0.01	0.36126548	0.21709844
96	0.15	0.01	0.3576311	0.25577384
96	0.15	0.01	0.39623824	0.2738764
96	0.15	0.01	0.35642242	0.20861188
97	0.15	0.01	0.3437482	0.2347617
97	0.15	0.01	0.37926716	0.21856533
97	0.15	0.01	0.35235962	0.20910352
98	0.15	0.01	0.36103877	0.18260388
98	0.15	0.01	0.36092526	0.19743727
98	0.15	0.01	0.35238516	0.20237285
99	0.15	0.01	0.36073914	0.25232312
99	0.15	0.01	0.36620593	0.21671964
99	0.15	0.01	0.33332577	0.19069488
100	0.15	0.01	0.36197388	0.31669688
100	0.15	0.01	0.3496989	0.2906225
100	0.15	0.01	0.35491315	0.22078378
101	0.15	0.01	0.3489637	0.2376846
101	0.15	0.01	0.3630887	0.30078822
101	0.15	0.01	0.35278758	0.2750422
102	0.15	0.01	0.3534378	0.20965731
102	0.15	0.01	0.35450068	0.26832667
102	0.15	0.01	0.3817513	0.19707893
103	0.15	0.01	0.35609725	0.23772451
103	0.15	0.01	0.379683	0.2864451
103	0.15	0.01	0.3685079	0.19135883
104	0.15	0.01	0.36614722	0.24180043
104	0.15	0.01	0.4164628	0.17696355
104	0.15	0.01	0.37145057	0.1827475
105	0.15	0.01	0.36945653	0.2627827
105	0.15	0.01	0.42761657	0.18683481
105	0.15	0.01	0.35557285	0.17932457
106	0.15	0.01	0.35999367	0.24891058
106	0.15	0.01	0.40416944	0.14063415
106	0.15	0.01	0.33011514	0.18564901
107	0.15	0.01	0.37430257	0.19797556
107	0.15	0.01	0.41235015	0.15105994
107	0.15	0.01	0.36539757	0.18293503
108	0.15	0.01	0.3468856	0.19903995
108	0.15	0.01	0.38504454	0.23574583
108	0.15	0.01	0.3372477	0.24534823
109	0.15	0.01	0.3794076	0.20695269
109	0.15	0.01	0.41441903	0.24819776
109	0.15	0.01	0.3495584	0.33254117
110	0.15	0.01	0.36314362	0.16241407
110	0.15	0.01	0.3951766	0.5039385
110	0.15	0.01	0.3557362	0.27356085
111	0.15	0.01	0.3561493	0.19971485
111	0.15	0.01	0.42823726	0.13548507
111	0.15	0.01	0.34805185	0.2568637
112	0.15	0.01	0.36314335	0.21681696
112	0.15	0.01	0.39468536	0.14865176
112	0.15	0.01	0.34922466	0.24203153
113	0.15	0.01	0.34071314	0.24788003
113	0.15	0.01	0.37055552	0.34725475
113	0.15	0.01	0.34350616	0.16680065
114	0.15	0.01	0.3513665	0.26727507
114	0.15	0.01	0.3756279	0.30693072
114	0.15	0.01	0.35368103	0.18807665
115	0.15	0.01	0.34629154	0.23212294
115	0.15	0.01	0.34793484	0.25802636
115	0.15	0.01	0.3444868	0.17295374
116	0.15	0.01	0.33147633	0.2231938
116	0.15	0.01	0.36669862	0.25268817
116	0.15	0.01	0.35817933	0.2332887
117	0.15	0.01	0.35721427	0.25751334
117	0.15	0.01	0.3761485	0.57612634
117	0.15	0.01	0.35389984	0.2736183
118	0.15	0.01	0.38783905	0.21423694
118	0.15	0.01	0.40670913	0.33299533
118	0.15	0.01	0.35209715	0.27742437
119	0.15	0.01	0.36456558	0.19554134
119	0.15	0.01	0.3941149	0.2513281
119	0.15	0.01	0.34558052	0.22926031
120	0.15	0.01	0.38610667	0.18710186
120	0.15	0.01	0.40182456	0.25049213
120	0.15	0.01	0.33620176	0.2291928
121	0.15	0.01	0.3740658	0.22516224
121	0.15	0.01	0.38922647	0.34245855
121	0.15	0.01	0.35851088	0.2504368
122	0.15	0.01	0.37633812	0.20088793
122	0.15	0.01	0.37441272	0.23733512
122	0.15	0.01	0.3565236	0.26786533
123	0.15	0.01	0.36648995	0.17847495
123	0.15	0.01	0.3532981	0.36320496
123	0.15	0.01	0.35801858	0.21167625
124	0.15	0.01	0.36085403	0.2079407
124	0.15	0.01	0.36744702	0.33806205
124	0.15	0.01	0.3578747	0.22267158
125	0.15	0.01	0.37359565	0.26048043
125	0.15	0.01	0.3493549	0.29967442
125	0.15	0.01	0.3569333	0.24499561
126	0.15	0.01	0.36138996	0.22029777
126	0.15	0.01	0.36443207	0.30442163
126	0.15	0.01	0.3434918	0.20115273
127	0.15	0.01	0.385566	0.18963657
127	0.15	0.01	0.3642337	0.47341335
127	0.15	0.01	0.36220574	0.16688427
128	0.15	0.01	0.37055546	0.19361717
128	0.15	0.01	0.35954162	0.28381526
128	0.15	0.01	0.34324896	0.1937237
129	0.15	0.01	0.35547158	0.2112144
129	0.15	0.01	0.38304615	0.29116037
129	0.15	0.01	0.337346	0.17099565
130	0.15	0.01	0.3640395	0.19407606
130	0.15	0.01	0.38051194	0.33572853
130	0.15	0.01	0.34928796	0.2488708
131	0.15	0.01	0.33638373	0.18307698
131	0.15	0.01	0.38559753	0.27085957
131	0.15	0.01	0.36153817	0.17679968
132	0.15	0.01	0.34569648	0.20896658
132	0.15	0.01	0.3708908	0.3564042
132	0.15	0.01	0.34564626	0.21087903
133	0.15	0.01	0.35539	0.20713992
133	0.15	0.01	0.3578266	0.47646224
133	0.15	0.01	0.3693346	0.20031661
134	0.15	0.01	0.35235527	0.23534614
134	0.15	0.01	0.35728142	0.33672655
134	0.15	0.01	0.36694598	0.18895932
135	0.15	0.01	0.34351256	0.21460399
135	0.15	0.01	0.37304267	0.5509995
135	0.15	0.01	0.35086146	0.17371523
136	0.15	0.01	0.35074872	0.25823453
136	0.15	0.01	0.35739926	0.29330066
136	0.15	0.01	0.35015532	0.16293031
137	0.15	0.01	0.3563854	0.2472776
137	0.15	0.01	0.37129307	0.4775903
137	0.15	0.01	0.36301005	0.21530752
138	0.15	0.01	0.37712318	0.28277466
138	0.15	0.01	0.37564275	0.3297201
138	0.15	0.01	0.3388882	0.19306487
139	0.15	0.01	0.3558067	0.26691684
139	0.15	0.01	0.35317364	0.47108975
139	0.15	0.01	0.33526585	0.19176659
140	0.15	0.01	0.3514704	0.25159028
140	0.15	0.01	0.3836825	0.3685412
140	0.15	0.01	0.35591626	0.17031004
141	0.15	0.01	0.35936278	0.278682
141	0.15	0.01	0.39424074	0.31788918
141	0.15	0.01	0.34371993	0.16979
142	0.15	0.01	0.3490018	0.24677262
142	0.15	0.01	0.36859754	0.24187127
142	0.15	0.01	0.36177638	0.17303364
143	0.15	0.01	0.35472554	0.42074284
143	0.15	0.01	0.3911054	0.25709227
143	0.15	0.01	0.34299514	0.18486165
144	0.15	0.01	0.34984553	0.24339081
144	0.15	0.01	0.38338113	0.24440691
144	0.15	0.01	0.36040264	0.20624867
145	0.15	0.01	0.33372062	0.17258012
145	0.15	0.01	0.37713042	0.24432045
145	0.15	0.01	0.34528837	0.1823413
146	0.15	0.01	0.35275546	0.17699833
146	0.15	0.01	0.3918441	0.2351864
146	0.15	0.01	0.3448443	0.18625224
147	0.15	0.01	0.34597248	0.19573073
147	0.15	0.01	0.39005828	0.22581902
147	0.15	0.01	0.34715262	0.19557068
148	0.15	0.01	0.35652006	0.25237694
148	0.15	0.01	0.37530255	0.27253804
148	0.15	0.01	0.33622846	0.17312923
149	0.15	0.01	0.35785088	0.22452149
149	0.15	0.01	0.3813652	0.3001675
149	0.15	0.01	0.32718903	0.19180423
150	0.15	0.01	0.35864916	0.21145028
150	0.15	0.01	0.37983704	0.3730155
150	0.15	0.01	0.35985923	0.19421937
151	0.15	0.01	0.35440174	0.20579268
151	0.15	0.01	0.3694577	0.3417593
151	0.15	0.01	0.34349152	0.17765903
152	0.15	0.01	0.34863284	0.23229754
152	0.15	0.01	0.34223667	0.29314187
152	0.15	0.01	0.36502063	0.17649716
153	0.15	0.01	0.37607393	0.18266779
153	0.15	0.01	0.35751504	0.47843945
153	0.15	0.01	0.3619376	0.20187093
154	0.15	0.01	0.34729075	0.20196034
154	0.15	0.01	0.35787544	0.32182923
154	0.15	0.01	0.34377906	0.23198235
155	0.15	0.01	0.35997674	0.20848636
155	0.15	0.01	0.36775178	0.21715346
155	0.15	0.01	0.3486253	0.21704856
156	0.15	0.01	0.34512508	0.19210945
156	0.15	0.01	0.3618766	0.28582877
156	0.15	0.01	0.334781	0.19810118
157	0.15	0.01	0.36856478	0.20149359
157	0.15	0.01	0.36920846	0.20122142
157	0.15	0.01	0.36653465	0.27557942
158	0.15	0.01	0.34049755	0.25026175
158	0.15	0.01	0.349338	0.19924462
158	0.15	0.01	0.36796	0.26518983
159	0.15	0.01	0.33520225	0.2226455
159	0.15	0.01	0.36365563	0.25174066
159	0.15	0.01	0.34775177	0.22585359
160	0.15	0.01	0.34409633	0.1855177
